distance;n_common_business_interest;skills_distinct_sum;common_skills;hobbies_distinct_sum;common_hobbies;proximityScore;businessInterestsScore;skillsScore;hobbiesScore;total_score
400;0;4;2;3;2;20,88;0;10;10;40,88
400;0;3;0;4;0;20,88;0;20;0;40,88
400;0;4;0;2;0;20,88;0;20;0;40,88
400;0;5;0;2;0;20,88;0;20;0;40,88
400;0;4;1;3;1;20,88;0;15;5;40,88
400;0;2;0;3;0;20,88;0;20;0;40,88
400;0;4;3;2;2;20,88;0;5;15;40,88
400;0;4;0;3;0;20,88;0;20;0;40,88
400;0;2;1;3;2;20,88;0;10;10;40,88
400;0;5;0;4;0;20,88;0;20;0;40,88
400;0;4;0;4;0;20,88;0;20;0;40,88
400;0;4;3;3;3;20,88;0;5;15;40,88
400;0;5;0;3;0;20,88;0;20;0;40,88
400;0;3;0;2;0;20,88;0;20;0;40,88
400;0;2;0;4;0;20,88;0;20;0;40,88
200;0;5;2;3;0;28,9;0;12;0;40,9
200;0;5;2;4;0;28,9;0;12;0;40,9
200;0;5;2;2;0;28,9;0;12;0;40,9
300;0;3;2;3;2;24,56;0;6,67;10;41,23
200;0;4;3;2;1;28,9;0;5;7,5;41,4
200;0;4;3;4;2;28,9;0;5;7,5;41,4
100;0;3;3;2;1;34;0;0;7,5;41,5
100;0;2;2;2;1;34;0;0;7,5;41,5
100;0;5;5;4;2;34;0;0;7,5;41,5
100;0;2;2;4;2;34;0;0;7,5;41,5
100;0;5;5;2;1;34;0;0;7,5;41,5
100;0;3;3;4;2;34;0;0;7,5;41,5
100;0;4;4;4;2;34;0;0;7,5;41,5
100;0;4;4;2;1;34;0;0;7,5;41,5
300;0;5;2;3;1;24,56;0;12;5;41,56
300;0;3;1;4;1;24,56;0;13,33;3,75;41,65
400;0;3;1;4;2;20,88;0;13,33;7,5;41,71
400;0;3;1;2;1;20,88;0;13,33;7,5;41,71
100;0;5;4;4;1;34;0;4;3,75;41,75
400;0;5;1;3;1;20,88;0;16;5;41,88
200;0;5;3;3;1;28,9;0;8;5;41,9
100;0;5;3;3;0;34;0;8;0;42
100;0;5;3;2;0;34;0;8;0;42
100;0;5;3;4;0;34;0;8;0;42
300;0;2;1;4;2;24,56;0;10;7,5;42,06
300;0;4;2;4;2;24,56;0;10;7,5;42,06
300;0;4;2;2;1;24,56;0;10;7,5;42,06
300;0;2;1;2;1;24,56;0;10;7,5;42,06
400;0;4;2;4;3;20,88;0;10;11,25;42,13
400;0;2;1;4;3;20,88;0;10;11,25;42,13
200;0;3;1;2;0;28,9;0;13,33;0;42,23
200;0;3;1;3;0;28,9;0;13,33;0;42,23
200;0;3;1;4;0;28,9;0;13,33;0;42,23
300;0;3;2;4;3;24,56;0;6,67;11,25;42,48
400;0;3;2;4;4;20,88;0;6,67;15;42,55
400;0;3;2;2;2;20,88;0;6,67;15;42,55
400;0;3;2;3;3;20,88;0;6,67;15;42,55
300;0;5;3;3;2;24,56;0;8;10;42,56
200;0;4;2;4;1;28,9;0;10;3,75;42,65
200;0;2;1;4;1;28,9;0;10;3,75;42,65
100;0;4;3;4;1;34;0;5;3,75;42,75
400;0;5;2;3;2;20,88;0;12;10;42,88
300;0;3;1;3;1;24,56;0;13,33;5;42,9
200;0;5;4;3;2;28,9;0;4;10;42,9
100;0;5;4;3;1;34;0;4;5;43
200;0;3;2;2;1;28,9;0;6,67;7,5;43,07
200;0;3;2;4;2;28,9;0;6,67;7,5;43,07
300;1;2;2;4;0;24,56;18,75;0;0;43,32
300;1;3;3;2;0;24,56;18,75;0;0;43,32
300;1;2;2;2;0;24,56;18,75;0;0;43,32
300;1;2;2;3;0;24,56;18,75;0;0;43,32
300;1;5;5;4;0;24,56;18,75;0;0;43,32
300;1;4;4;4;0;24,56;18,75;0;0;43,32
300;1;4;4;3;0;24,56;18,75;0;0;43,32
300;1;5;5;2;0;24,56;18,75;0;0;43,32
300;1;4;4;2;0;24,56;18,75;0;0;43,32
300;1;3;3;4;0;24,56;18,75;0;0;43,32
300;0;4;1;4;1;24,56;0;15;3,75;43,32
300;1;3;3;3;0;24,56;18,75;0;0;43,32
300;1;5;5;3;0;24,56;18,75;0;0;43,32
400;1;2;2;4;1;20,88;18,75;0;3,75;43,38
400;1;4;4;4;1;20,88;18,75;0;3,75;43,38
400;1;5;5;4;1;20,88;18,75;0;3,75;43,38
400;0;4;1;4;2;20,88;0;15;7,5;43,38
400;1;3;3;4;1;20,88;18,75;0;3,75;43,38
400;0;4;1;2;1;20,88;0;15;7,5;43,38
300;0;5;4;2;2;24,56;0;4;15;43,56
300;0;5;4;4;4;24,56;0;4;15;43,56
300;0;5;4;3;3;24,56;0;4;15;43,56
400;1;5;4;3;0;20,88;18,75;4;0;43,63
400;1;5;4;4;0;20,88;18,75;4;0;43,63
400;1;5;4;2;0;20,88;18,75;4;0;43,63
0;0;3;3;4;1;40;0;0;3,75;43,75
0;0;5;5;4;1;40;0;0;3,75;43,75
0;0;4;4;4;1;40;0;0;3,75;43,75
0;0;2;2;4;1;40;0;0;3,75;43,75
300;0;5;3;4;3;24,56;0;8;11,25;43,82
400;0;5;3;3;3;20,88;0;8;15;43,88
400;0;5;3;2;2;20,88;0;8;15;43,88
400;0;5;3;4;4;20,88;0;8;15;43,88
200;0;4;3;3;2;28,9;0;5;10;43,9
200;0;5;5;3;3;28,9;0;0;15;43,9
200;0;4;2;3;1;28,9;0;10;5;43,9
200;0;5;5;2;2;28,9;0;0;15;43,9
200;0;4;1;4;0;28,9;0;15;0;43,9
200;0;4;4;4;4;28,9;0;0;15;43,9
200;0;2;2;4;4;28,9;0;0;15;43,9
200;0;2;2;3;3;28,9;0;0;15;43,9
200;0;2;1;3;1;28,9;0;10;5;43,9
200;0;5;5;4;4;28,9;0;0;15;43,9
200;0;3;3;2;2;28,9;0;0;15;43,9
200;0;4;1;3;0;28,9;0;15;0;43,9
200;0;4;1;2;0;28,9;0;15;0;43,9
200;0;4;4;2;2;28,9;0;0;15;43,9
200;0;2;2;2;2;28,9;0;0;15;43,9
200;0;3;3;3;3;28,9;0;0;15;43,9
200;0;4;4;3;3;28,9;0;0;15;43,9
200;0;3;3;4;4;28,9;0;0;15;43,9
100;0;2;1;2;0;34;0;10;0;44
100;0;2;1;3;0;34;0;10;0;44
100;0;3;3;3;2;34;0;0;10;44
100;0;5;5;3;2;34;0;0;10;44
100;0;4;4;3;2;34;0;0;10;44
0;0;5;4;4;0;40;0;4;0;44
100;0;4;2;2;0;34;0;10;0;44
0;0;5;4;3;0;40;0;4;0;44
100;0;4;2;3;0;34;0;10;0;44
100;0;4;3;3;1;34;0;5;5;44
100;0;2;2;3;2;34;0;0;10;44
100;0;4;2;4;0;34;0;10;0;44
100;0;2;1;4;0;34;0;10;0;44
0;0;5;4;2;0;40;0;4;0;44
300;0;5;2;4;2;24,56;0;12;7,5;44,06
300;0;5;2;2;1;24,56;0;12;7,5;44,06
400;0;5;2;4;3;20,88;0;12;11,25;44,13
200;0;5;4;4;3;28,9;0;4;11,25;44,15
400;2;4;4;2;0;20,88;23,32;0;0;44,2
400;2;3;3;4;0;20,88;23,32;0;0;44,2
400;2;3;3;2;0;20,88;23,32;0;0;44,2
400;2;2;2;4;0;20,88;23,32;0;0;44,2
400;2;2;2;3;0;20,88;23,32;0;0;44,2
